id,Sports & Fitness,Coding,Teaching,Art,History,POLITICS,COOKING,BPC,fashion,Photography,OUTPUT
25,1,4.6,1.4,5.2,1.6,2.7,8.9,4.2,5.5,8.9,chef
26,1.2,4.2,1.2,5.5,1.2,2.4,9,4,5,8.4,chef
27,1.2,4,1.2,5.4,1.4,2.4,9.3,4.3,5.4,8.2,chef
28,1,4.5,1.1,5.5,1.2,2.7,9.2,4.7,5.1,8.2,chef
29,1.1,4.3,1.5,5.4,1.2,2.4,9.5,4.2,5.2,8.1,chef
30,1.5,4.4,1.3,5,1.3,2.4,10,4.5,5.3,8.9,chef
31,9,4,3,2,1,2,3.6,1,4,5,athlete
32,9,4.5,3.6,2.5,1,2.4,3.5,1,4.5,5.1,athlete
33,9.8,4.3,3.5,2.6,1.2,2.6,3.6,1.2,4.4,5.2,athlete
34,8.9,4.4,3.6,2.1,1,2.1,3,1,4.1,5.5,athlete
35,9,4.6,3,2.3,1,2.3,3,1.1,4.2,5,athlete
36,9.3,4.2,3,2.6,1.2,2.6,3.6,1,4.2,5.4,athlete
37,9.2,4,3.6,2,1,2,3,1.2,4,5.1,athlete
38,9.4,4.3,3,2.2,1.1,2.2,3.6,1.3,4.3,5.2,athelete
39,9.5,4.4,3.6,2.5,1,2.5,3.5,1.4,4.7,5,athlete
40,9.5,4.6,3.5,2.4,1.2,2.2,3.4,1.5,4.2,5.4,athlete
41,1,4,6,3,3,2,3,8,1.1,3,doctor_pharmacist
42,1,4.3,6.1,3.6,3.6,2.4,3.6,8.1,1,3.6,doctor_pharmacist
43,1.2,4.4,6.3,3.5,3.5,2.3,3.5,8.9,1.2,3.5,doctor_pharmacist
44,1,4.6,6.2,3.6,3.6,2.6,3.6,8.4,1.3,3.6,doctor_pharmacist
45,1.1,4.2,6.5,3,3,2.7,3,8.9,1.4,3,doctor_pharmacist
46,1.3,4,6.1,3,3,2.4,3,8.4,1.5,3,doctor_pharmacist
47,1.5,4.3,6.3,3.6,3.6,2.4,3.6,8.9,1,3.6,doctor_pharmacist
48,1,4.4,6,3,3,2.7,3,8.4,1.2,3,doctor_pharmacist
49,1.1,4.5,6.4,3.6,3.6,2.4,3.6,8.5,1,3.6,doctor_pharmacist
50,1.4,4.2,6.2,3.5,3.5,2.4,3.5,8.6,1,3.5,doctor_pharmacist
51,2,9,5,2,1,2,1,5,2,4,Developer
52,2.3,9.8,5.1,2,1.4,2,1,5.4,2.6,4,Developer
53,2.6,8.9,5.3,2.4,1.3,2,1.2,5.1,2.6,4.1,Developer
54,2.7,9,5.3,2.2,1.4,2.4,1,5.2,2,4.3,Developer
55,2.4,9.3,5.4,2.5,1.2,2.4,1.1,5.5,2.2,4.5,Developer
56,2.4,9.2,5.1,2.6,1.2,2.3,1,5.4,2.2,4.3,Developer
57,2.7,9.4,5.2,2.1,1,2.6,1.2,5.2,2.5,4.4,Developer
58,2.4,9.1,5.5,2.4,1.1,2.7,1.3,5.5,2.2,4.6,Developer
59,2.4,9.5,5.4,2.3,1.5,2.4,1.4,5.4,2.4,4.2,Developer
60,2.7,8.8,5.2,2.6,1.4,2.3,1.5,5,2.3,4.2,Developer
61,2,4,4,5,1,9,2,4.2,3,2,politician
62,2.3,4.5,4,5.1,1.4,9.8,2.4,4,3.6,2.6,politician
63,2.6,4.4,4.1,5.3,1.3,8.9,3.2,4.3,3.5,2.6,politician
64,2.7,4.1,4.3,5.3,1.4,9,2.5,4.7,3.6,2,politician
65,2.4,4.2,4.5,5.4,1.2,9.3,2.6,4.2,3.2,2.2,politician
66,2.4,4,4.3,5.1,1.2,9.2,2.1,4.1,3.4,2.2,politician
67,2.7,4.3,4.4,5.2,1,9.4,2.4,4.4,3,2.5,politician
68,2.4,4.7,4.6,5.5,1.1,9.1,2.3,4,3.2,2.2,politician
69,2.4,4.2,4.2,5.4,1.5,9.5,2.6,4.5,3.4,2.4,politician
70,2.7,4.5,4.2,5.2,1.4,8.8,2.3,4,3.3,2.3,politician
71,2,5,2,8,5,2,3,4,5.2,4.2,artist
72,2.5,5.4,2.3,8,5.1,2.4,3.6,4.1,5.1,4,artist
73,2,5.1,2.6,8.1,5.3,3.2,3.5,4.3,5.3,4.3,artist
74,2,5.2,2.7,8.9,5.3,2.5,3.6,4.5,5.3,4.7,artist
75,2.4,5,2.4,8.4,5.4,2.6,3.2,4.3,5.4,4.2,artist
76,2.4,5.4,2.4,8.9,5.1,2.1,3.4,4.4,5,4.1,artist
77,2.3,5.1,2.7,8.4,5.2,2.4,3,4.6,5.1,4.4,artist
78,2.6,5.2,2.4,8.9,5.5,2.3,3.2,4.2,5.2,4,artist
79,2.7,5.5,2.4,8.4,5.4,2.6,3.4,4.1,5.5,4.5,artist
80,2,5.3,2.7,8.3,5.2,2.3,3.3,4.3,5,4,artist
81,8,2,4.2,5,2,1.4,4,2,9,5.2,fashion_influencer
82,8,2,4,5.1,2.3,1.2,4.1,2.6,9.8,5.1,fashion_influencer
83,8.1,2.4,4.3,5.3,2.6,1.2,4.3,2.6,8.9,5.3,fashion_influencer
84,8.9,2.2,4.7,5.3,2.7,1,4.5,2,9,5.3,fashion_influencer
85,8.4,2.5,4.2,5.4,2.4,1.2,4.3,2.2,9.3,5.4,fashion_influencer
86,8.9,2.6,4.1,5.1,2.4,1.2,4.4,2.2,9.2,5,fashion_influencer
87,8.4,2.1,4.4,5.2,2.7,1,4.6,2.5,9.4,5.1,fashion_influencer
88,8.9,2.4,4,5.5,2.4,1.1,4.2,2.2,9.1,5.2,fashion_influencer
89,8.4,2.3,4.5,5.4,2.4,1.5,4.1,2.4,9.5,5.5,fashion_influencer
90,8.3,2.6,4,5.2,2.7,1,4.3,2.3,8.8,5,fashion_influencer
91,2,4.2,2,7,9,1.4,1,4,5,6,archaeologist
92,2,4,2.3,7,9.8,1.2,1,4.5,5.4,6.2,archaeologist
93,2.4,4.3,2.6,7.3,8.9,1.2,1.2,4.4,5.1,6.5,archaeologist
94,2.2,4.7,2.7,7.7,9,1,1,4.1,5.2,6.1,archaeologist
95,2.5,4.2,2.4,7.5,9.3,1.2,1.1,4.2,5,6.3,archaeologist
96,2.6,4.1,2.4,6.9,9.2,1.2,1,4,5.4,6,archaeologist
97,2.1,4.4,2.7,7,9.4,1,1.2,4.3,5.1,6.4,archaeologist
98,2.4,4,2.4,7.3,9.1,1.1,1.3,4.7,5.2,6.2,archaeologist
99,2.3,4.5,2.4,7.1,9.5,1.5,1.4,4.2,5.5,6.6,archaeologist
100,2.6,4,2.7,7.4,8.8,1,1.5,4.5,5.3,6.1,archaeologist
